LOCATION,ENTRY,NAME,REPS
A,43,CLS21-0050;033,1
A,114,CLS21-0114;024,1
A,654,CLS21-0906;045,1
A,146,CLS21-0118;012,1
A,88,CLS21-0111;033,1
A,215,CLS21-0142;038,1
A,558,CLS21-0758;014,1
A,525,CLS21-0755;011,1
A,93,CLS21-0114;003,1
A,413,CLS21-0199;036,1
A,618,CLS21-0906;009,1
A,304,CLS21-0178;006,1
A,195,CLS21-0142;018,1
A,338,CLS21-0179;001,1
A,192,CLS21-0142;015,1
A,504,CLS21-0685;025,1
A,153,CLS21-0118;019,1
A,196,CLS21-0142;019,1
A,364,CLS21-0179;027,1
A,686,CLS21-0911;027,1
A,131,CLS21-0114;041,1
A,603,CLS21-0805;032,1
A,574,CLS21-0805;003,1
A,243,CLS21-0169;024,1
A,586,CLS21-0805;015,1
A,575,CLS21-0805;004,1
A,249,CLS21-0169;030,1
A,70,CLS21-0111;015,1
A,182,CLS21-0142;005,1
A,384,CLS21-0199;007,1
A,178,CLS21-0142;001,1
A,531,CLS21-0755;017,1
A,321,CLS21-0178;023,1
A,14,CLS21-0050;004,1
A,20,CLS21-0050;010,1
A,642,CLS21-0906;033,1
A,460,CLS21-0622;015,1
A,454,CLS21-0622;009,1
A,16,CLS21-0050;006,1
A,308,CLS21-0178;010,1
A,624,CLS21-0906;015,1
A,620,CLS21-0906;011,1
A,443,CLS21-0512;028,1
A,472,CLS21-0622;027,1
A,612,CLS21-0906;003,1
A,683,CLS21-0911;024,1
A,65,CLS21-0111;010,1
A,572,CLS21-0805;001,1
A,81,CLS21-0111;026,1
A,247,CLS21-0169;028,1
A,527,CLS21-0755;013,1
A,122,CLS21-0114;032,1
A,381,CLS21-0199;004,1
A,552,CLS21-0758;008,1
A,272,CLS21-0172;011,1
A,135,CLS21-0118;001,1
A,582,CLS21-0805;011,1
A,513,CLS21-0685;034,1
A,80,CLS21-0111;025,1
A,313,CLS21-0178;015,1
A,648,CLS21-0906;039,1
A,354,CLS21-0179;017,1
A,415,CLS21-0199;038,1
A,334,CLS21-0178;036,1
A,89,CLS21-0111;034,1
A,230,CLS21-0169;011,1
A,470,CLS21-0622;025,1
A,76,CLS21-0111;021,1
A,465,CLS21-0622;020,1
A,453,CLS21-0622;008,1
A,628,CLS21-0906;019,1
A,121,CLS21-0114;031,1
