ENTRY,NAME
620,CLS21-0906;011
443,CLS21-0512;028
472,CLS21-0622;027
612,CLS21-0906;003
683,CLS21-0911;024
65,CLS21-0111;010
572,CLS21-0805;001
81,CLS21-0111;026
247,CLS21-0169;028
527,CLS21-0755;013
122,CLS21-0114;032
381,CLS21-0199;004
552,CLS21-0758;008
272,CLS21-0172;011
135,CLS21-0118;001
582,CLS21-0805;011
513,CLS21-0685;034
80,CLS21-0111;025
313,CLS21-0178;015
648,CLS21-0906;039
354,CLS21-0179;017
415,CLS21-0199;038
334,CLS21-0178;036
89,CLS21-0111;034
230,CLS21-0169;011
470,CLS21-0622;025
76,CLS21-0111;021
465,CLS21-0622;020
453,CLS21-0622;008
628,CLS21-0906;019
121,CLS21-0114;031
98,CLS21-0114;008
274,CLS21-0172;013
386,CLS21-0199;009
127,CLS21-0114;037
532,CLS21-0755;018
576,CLS21-0805;005
360,CLS21-0179;023
115,CLS21-0114;025
161,CLS21-0118;027
194,CLS21-0142;017
87,CLS21-0111;032
209,CLS21-0142;032
156,CLS21-0118;022
458,CLS21-0622;013
273,CLS21-0172;012
263,CLS21-0172;002
446,CLS21-0622;001
495,CLS21-0685;016
457,CLS21-0622;012
411,CLS21-0199;034
331,CLS21-0178;033
396,CLS21-0199;019
206,CLS21-0142;029
522,CLS21-0755;008
370,CLS21-0179;033
47,CLS21-0050;037
171,CLS21-0118;037
79,CLS21-0111;024
635,CLS21-0906;026
90,CLS21-0111;035
92,CLS21-0114;002
36,CLS21-0050;026
502,CLS21-0685;023
448,CLS21-0622;003
149,CLS21-0118;015
55,CLS21-0050;045
126,CLS21-0114;036
518,CLS21-0755;004
221,CLS21-0169;002
442,CLS21-0512;027
410,CLS21-0199;033
366,CLS21-0179;029
450,CLS21-0622;005
651,CLS21-0906;042
111,CLS21-0114;021
203,CLS21-0142;026
154,CLS21-0118;020
307,CLS21-0178;009
290,CLS21-0172;029
640,CLS21-0906;031
524,CLS21-0755;010
160,CLS21-0118;026
374,CLS21-0179;037
619,CLS21-0906;010
500,CLS21-0685;021
391,CLS21-0199;014
326,CLS21-0178;028
377,CLS21-0179;040
151,CLS21-0118;017
639,CLS21-0906;030
449,CLS21-0622;004
289,CLS21-0172;028
432,CLS21-0512;017
438,CLS21-0512;023
322,CLS21-0178;024
318,CLS21-0178;020
158,CLS21-0118;024
73,CLS21-0111;018
385,CLS21-0199;008
262,CLS21-0172;001
668,CLS21-0911;009
71,CLS21-0111;016
632,CLS21-0906;023
328,CLS21-0178;030
551,CLS21-0758;007
426,CLS21-0512;011
489,CLS21-0685;010
414,CLS21-0199;037
467,CLS21-0622;022
120,CLS21-0114;030
423,CLS21-0512;008
278,CLS21-0172;017
427,CLS21-0512;012
589,CLS21-0805;018
259,CLS21-0169;040
339,CLS21-0179;002
45,CLS21-0050;035
